Hier wird die Struktur der Stahl-Control Datenbank (!SC-Entwicklung) abgebildet. Der Name der Datenbank ist Conzept C16.
Es werden Tabellen, Schlüssel, Verküpfungen und Dialoge abgebildet. Datenbank Abfragen werden immer erreicht,in dem die Dateinummer (Eindeutiger Bezeichner der Tabelle), und eine Verknüpfung über die Schlüssel angegeben wird. Ein Beispielcode um einen Datensatz aus der Tabelle 200 Mat.Materialdatei zu lesen wäre: RecRead(200, 1, 0);

Datenbank        : !@SC-Entwicklung                         10.11.2023   14:29


Nr.  Dateiname            Teile  Infos  Schl.  Verkn. DBA    Hauptdatei   Sätze
890  OSt.OnlineStatistik    1      0      1      0    279                 3362
891  OSt.Stack              2      0      1      0    281                 2904
892  OSt.Erweitert          3      0      1      0   1004                14401
899  Sta.Statistik          8      0      7      9    657                  166
900  Help.Dokumente         1      0      1      0    718                    5
901  Prg.Keys               1      0      2      0     47                  423

902  Prg.Nummernkreise      1      0      1      0     60                   62
903  Prg.Settings          21      0      1      1     67                    1
904  Prg.šbersetzung        1      0      2      0     69                 4421
905  Job.Jobserver          1      0      3      0    478                   16
906  Dia.Dialoge            1      0      1      1    664                   51
907  Dia.Pflichtfelder      2      0      1      2    377                    2
908  Job.Fehlermeldungen    1      0      1      0    388                    0
909  FSP.Filescanpfade      1      0      1      0    517                    1
910  Lfm.Listenformate      1      0      3      1     55                  431
911  Lfm.UserAllowed        1      0      1      0     56                    0
912  Frm.Formulare          2      0      3      0     62                  104
913  Dzo.Druckzonen         3      0      1      0   1156                    5
915  Dok.Dokumente          1      0      3      0     63                  265
916  Anh.Anhänge            3      0      7      0    697                  112
917  Blb.Rechte             1      0      1      0   1000                    1
920  Scr.Scripte            1      0      3      2    785                    8
921  Scr.Befehle            3      0      1      4    787                   11
922  SFX.Sonderfunktionen   1      0      2      1    886                   16
923  AFX.Ankerfunktionen    1      0      1      0    889                  414
924  SFX.UserAllowed        1      0      1      0    412                    4
930  CUS.Felderpool         1      0      1      1    924                    6
931  CUS.Felder             1      0      3      1    926                   18
932  CUS.Auswahlfelder      1      0      3      0    948                   22
935  Dic.Dictionary         3      0      1      0   1070                    0
940  WoF.Schema             2      0      1      2    137                   23
941  WoF.Aktivitäten        2      0      1      2    139                   64
942  WoF.Bedingungen        1      0      2      2    178                   50
950  Con.Controlling       13      0      2      7    187                   22
960  SOA.Serviceinventar    2      0      1      2    414                   76
961  SOA.UsersAllowed       1      0      2      0    415                   66
965  SOA.Protokoll          4      0      2      1    416                  150
980  TeM.Termine            3      0      7      2    105                  911
981  TeM.Anker              1      0      4      2    107                 1913
982  TeM.Bericht            2      0      1      2    108                    3
989  TeM.Events             1      0      6      0    103                  467
990  PtD.Protokolldatei     1      0      2      0     76                10249
991  PtD.Löschungen         1      0      2      0    676                 2483
992  PtD.Syncs              1      0      3      0    387                    0
993  Sync.Referenzen        1      0      1      0    976                    0
995  Log.Changelog          1      0      2      0    894                  174
996  Tmp.Todos              1      0      1      0   ****                    0
997  Version                1      0      1      0    793                    1
998  Sel.Selektionen       11      0      1      0     97                    0
999  GV.Global              9      0      0     11   ****                    0



Datei                :   100 / Adr.Adressen
Teildatensatz        :     1 / Adr.Hauptdaten
  Anzahl Felder      :    39

  Nr.  Name                    Feldtyp             Bytes   Ein/Ausgabeberechtigung

   1   Adr.Nummer              Ganzz. (lang)           4        0 /   0
   2   Adr.KundenNr            Ganzz. (lang)           4        0 /   0
   3   Adr._KundenBuchNr       Ganzz. (lang)           4        0 /   0
   4   Adr.LieferantenNr       Ganzz. (lang)           4        0 /   0
   5   Adr._LieferantBuchNr    Ganzz. (lang)           4        0 /   0
   6   Adr.Stichwort           Alpha    20stellig     21        0 /   0
   7   Adr.Gruppe              Alpha    20stellig     21        0 /   0
   8   Adr.Sachbearbeiter      Alpha    20stellig     21        0 /   0
   9   Adr.Vertreter           Ganzz. (lang)           4        0 /   0
  10   Adr.Verband             Ganzz. (lang)           4        0 /   0
  11   Adr.VerbandRefNr        Alpha    32stellig     33        0 /   0
  12   Adr.ABC                 Alpha     1stellig      2        0 /   0
  13   Adr.Punktzahl           Ganzz. (kurz)           2        0 /   0
  14   Adr.Anrede              Alpha    80stellig     81        0 /   0
  15   Adr.Name                Alpha    80stellig     81        0 /   0

  16   Adr.Zusatz              Alpha    80stellig     81        0 /   0
  17   Adr.Straáe              Alpha    80stellig     81        0 /   0
  18   Adr.LKZ                 Alpha     3stellig      4        0 /   0
  19   Adr.PLZ                 Alpha    12stellig     13        0 /   0
  20   Adr.Postfach.PLZ        Alpha    12stellig     13        0 /   0
  21   Adr.Postfach            Alpha    12stellig     13        0 /   0
  22   Adr.Ort                 Alpha    80stellig     81        0 /   0
  23   Adr.Telefon1            Alpha    40stellig     41        0 /   0
  24   Adr.Telefon2            Alpha    32stellig     33        0 /   0
  25   Adr.Telefax             Alpha    32stellig     33        0 /   0
  26   Adr.eMail               Alpha    80stellig     81        0 /   0
  27   Adr.Website             Alpha   160stellig    161        0 /   0
  28   Adr.Briefanrede         Alpha    64stellig     65        0 /   0
  29   Adr.Briefgruppe         Alpha     8stellig      9        0 /   0
  30   Adr.Kreditnummer        Ganzz. (lang)           4        0 /   0
  31   Adr.SperrKundeYN        Logisch                 1        0 /   0
  32   Adr.SperrLieferantYN    Logisch                 1        0 /   0
  33   Adr.Sperrvermerk        Alpha    64stellig     65        0 /   0
  34   Adr.Bemerkung           Alpha   128stellig    129        0 /   0
  35   Adr.Vertreter2          Ganzz. (lang)           4        0 /   0
  36   Adr.Vertr1.Prov         Gleitkomma              8        0 /   0
  37   Adr.Vertr2.Prov         Gleitkomma              8        0 /   0
  38   Adr.KundenFibuNr        Alpha    20stellig     21        0 /   0
  39   Adr.LieferantFibuNr     Alpha    20stellig     21        0 /   0

                               Gesamt               1261 Bytes



Datei                :   100 / Adr.Adressen
Teildatensatz        :     2 / Adr.Bankverbindung
  Anzahl Felder      :    10

  Nr.  Name                    Feldtyp             Bytes   Ein/Ausgabeberechtigung

   1   Adr.Bank1.Name          Alpha    32stellig     33        0 /   0
   2   Adr.Bank1.BLZ           Alpha    15stellig     16        0 /   0
   3   Adr.Bank1.Kontonr       Alpha    15stellig     16        0 /   0
   4   Adr.Bank1.IBAN          Alpha    40stellig     41        0 /   0
   5   Adr.Bank1.BIC.SWIFT     Alpha    16stellig     17        0 /   0
   6   Adr.Bank2.Name          Alpha    32stellig     33        0 /   0
   7   Adr.Bank2.BLZ           Alpha    15stellig     16        0 /   0
   8   Adr.Bank2.Kontonr       Alpha    15stellig     16        0 /   0
   9   Adr.Bank2.IBAN          Alpha    40stellig     41        0 /   0
  10   Adr.Bank2.BIC.SWIFT     Alpha    16stellig     17        0 /   0

                               Gesamt                246 Bytes



Datei                :   100 / Adr.Adressen
Teildatensatz        :     3 / Adr.Einkauf
  Anzahl Felder      :     9

  Nr.  Name                    Feldtyp             Bytes   Ein/Ausgabeberechtigung

   1   Adr.EK.Lieferbed        Ganzz. (kurz)           2        0 /   0
   2   Adr.EK.Zahlungsbed      Ganzz. (kurz)           2        0 /   0
   3   Adr.EK.Versandart       Ganzz. (kurz)           2        0 /   0
   4   Adr.EK.Währung          Ganzz. (kurz)           2        0 /   0
   5   Adr.EK.Referenznr       Alpha    32stellig     33        0 /   0
   6   Adr.EK.Fusstext         Ganzz. (kurz)           2        0 /   0
   7   Adr.EK.Zertifikat       Alpha    32stellig     33        0 /   0
   8   Adr.EK.ZertifikatBis    Datum                   4        0 /   0
   9   Adr.EK.Verwiegeart      Ganzz. (kurz)           2        0 /   0

                               Gesamt                 82 Bytes


Datei                :   100 / Adr.Adressen
Teildatensatz        :     4 / Adr.Verkauf
  Anzahl Felder      :    14

  Nr.  Name                    Feldtyp             Bytes   Ein/Ausgabeberechtigung

   1   Adr.VK.Lieferbed        Ganzz. (kurz)           2        0 /   0
   2   Adr.VK.Zahlungsbed      Ganzz. (kurz)           2        0 /   0
   3   Adr.VK.Versandart       Ganzz. (kurz)           2        0 /   0
   4   Adr.VK.Währung          Ganzz. (kurz)           2        0 /   0
   5   Adr.VK.Referenznr       Alpha    32stellig     33        0 /   0
   6   Adr.VK.ReEmpfänger      Ganzz. (lang)           4        0 /   0
   7   Adr.VK.SammelReYN       Logisch                 1        0 /   0
   8   Adr.VK.Verwiegeart      Ganzz. (kurz)           2        0 /   0
   9   Adr.VK.Fusstext         Ganzz. (kurz)           2        0 /   0
  10   Adr.VK.EigentumVBYN     Logisch                 1        0 /   0
  11   Adr.VK.EigentumVBDat    Datum                   4        0 /   0
  12   Adr.VK.Std.LieferAdr    Ganzz. (lang)           4        0 /   0
  13   Adr.VK.Std.LieferAns    Ganzz. (kurz)           2        0 /   0
  14   Adr.VK.ReAnschrift      Ganzz. (kurz)           2        0 /   0

                               Gesamt                 63 Bytes



Datei                :   100 / Adr.Adressen
Teildatensatz        :     5 / Adr.Zusatz
  Anzahl Felder      :    13

  Nr.  Name                    Feldtyp             Bytes   Ein/Ausgabeberechtigung

   1   Adr.USIdentNr           Alpha    16stellig     17        0 /   0
   2   Adr.Steuernummer        Alpha    16stellig     17        0 /   0
   3   Adr.Steuerschlüssel     Ganzz. (kurz)           2        0 /   0
   4   Adr.Sprache             Alpha     3stellig      4        0 /   0
   5   Adr.AbmessungEH         Alpha     5stellig      6        0 /   0
   6   Adr.GewichtEH           Alpha     3stellig      4        0 /   0
   7   Adr.Pfad.Bild           Alpha   128stellig    129        0 /   0
   8   Adr.Pfad.Doks           Alpha   128stellig    129        0 /   0
   9   Adr.BonusEmpfängerYN    Logisch                 1        0 /   0
  10   Adr.BonusProz           Gleitkomma              8        0 /   0
  11   Adr.Fibudatum.Kd        Datum                   4        0 /   0
  12   Adr.Fibudatum.Lf        Datum                   4        0 /   0
  13   Adr.ServiceKey          Alpha   250stellig    251        0 /   0

                               Gesamt                576 Bytes



Datei                :   100 / Adr.Adressen
Teildatensatz        :     6 / Adr.Protokoll
  Anzahl Felder      :     6

  Nr.  Name                    Feldtyp             Bytes   Ein/Ausgabeberechtigung

   1   Adr.Anlage.Datum        Datum                   4        0 /   0
   2   Adr.Anlage.Zeit         Zeit                    4        0 /   0
   3   Adr.Anlage.User         Alpha    20stellig     21        0 /   0
   4   Adr.Žnderung.Datum      Datum                   4        0 /   0
   5   Adr.Žnderung.Zeit       Zeit                    4        0 /   0
   6   Adr.Žnderung.User       Alpha    20stellig     21        0 /   0

                               Gesamt                 58 Bytes



Datei                :   100 / Adr.Adressen
Teildatensatz        :     7 / Adr.Finanzdaten

  Anzahl Felder      :    17

  Nr.  Name                    Feldtyp             Bytes   Ein/Ausgabeberechtigung

   1   Adr.Fin.Vzg.FixTag      Ganzz. (kurz)           2        0 /   0
   2   Adr.Fin.Vzg.Offset      Gleitkomma              8        0 /   0
   3   Adr.Fin.Vzg.AnzZhlg     Ganzz. (lang)           4        0 /   0
   4   Adr.Fin.letzterAufAm    Datum                   4        0 /   0
   5   Adr.Fin.letzteReAm      Datum                   4        0 /   0
   6   Adr.Fin.SummeOP         Gleitkomma              8        0 /   0
   7   Adr.Fin.SummeAB         Gleitkomma              8        0 /   0
   8   Adr.Fin.SummeABBere     Gleitkomma              8        0 /   0
   9   Adr.Fin.SummeLFS        Gleitkomma              8        0 /   0
  10   Adr.Fin.SummeRes        Gleitkomma              8        0 /   0
  11   Adr.Fin.Refreshdatum    Datum                   4        0 /   0
  12   Adr.Fin.SummePlan       Gleitkomma              8        0 /   0
  13   Adr.Fin.SummeOP.Ext     Gleitkomma              8        0 /   0
  14   Adr.Fin.SummeOPB        Gleitkomma              8        0 /   0
  15   Adr.Fin.SummeOPB.Ext    Gleitkomma              8        0 /   0
  16   Adr.Fin.SummeAB.LV      Gleitkomma              8        0 /   0
  17   Adr.Fin.SummeEkBest     Gleitkomma              8        0 /   0

                               Gesamt                114 Bytes



Datei                :   100 / Adr.Adressen
Teildatensatz        :     8 / Adr.Custom
  Anzahl Felder      :     1

  Nr.  Name                    Feldtyp             Bytes   Ein/Ausgabeberechtigung

   1   Adr.Cust.Sort           Alpha    25stellig     26        0 /   0

                               Gesamt                 26 Bytes



Datei                :   100 / Adr.Adressen
Schlüssel            :     1 / Adr/Nummer
  DBA Nummer         :    72
  Anzahl Felder      :     1  (eindeutig)
  Listeneintrag      :     J

Pos  Teildatensatz              Feld                      Typ

 1    1 / Adr.Hauptdaten         1 / Adr.Nummer           Ganzz. (lang)



Datei                :   100 / Adr.Adressen
Schlüssel            :     2 / Adr/KundenNr
  DBA Nummer         :    73
  Anzahl Felder      :     1
  Listeneintrag      :     J

Pos  Teildatensatz              Feld                      Typ

 1    1 / Adr.Hauptdaten         2 / Adr.KundenNr         Ganzz. (lang)



Datei                :   100 / Adr.Adressen
Schlüssel            :     3 / Adr/LieferantenNr
  DBA Nummer         :    74
  Anzahl Felder      :     1
  Listeneintrag      :     J


Pos  Teildatensatz              Feld                      Typ

 1    1 / Adr.Hauptdaten         4 / Adr.LieferantenNr    Ganzz. (lang)



Datei                :   100 / Adr.Adressen
Schlüssel            :     4 / Adr/Stichwort
  DBA Nummer         :    75
  Anzahl Felder      :     1
  Listeneintrag      :     J

Pos  Teildatensatz              Feld                      Typ

 1    1 / Adr.Hauptdaten         6 / Adr.Stichwort        Alpha  20st.   GU



Datei                :   100 / Adr.Adressen
Schlüssel            :     5 / Adr/Kreditnummer
  DBA Nummer         :   114
  Anzahl Felder      :     1
  Listeneintrag      :     J

Pos  Teildatensatz              Feld                      Typ

 1    1 / Adr.Hauptdaten        30 / Adr.Kreditnummer     Ganzz. (lang)



Datei                :   100 / Adr.Adressen
Schlüssel            :     6 / Adr/Name
  DBA Nummer         :   120
  Anzahl Felder      :     1
  Listeneintrag      :     J

Pos  Teildatensatz              Feld                      Typ

 1    1 / Adr.Hauptdaten        15 / Adr.Name             Alpha  20st.   GU



Datei                :   100 / Adr.Adressen
Schlüssel            :     7 / Adr/Telefon1
  DBA Nummer         :   518
  Anzahl Felder      :     1
  Listeneintrag      :     J

Pos  Teildatensatz              Feld                      Typ

 1    1 / Adr.Hauptdaten        23 / Adr.Telefon1         Alpha  40st.   GUS



Datei                :   100 / Adr.Adressen
Schlüssel            :     8 / Adr/Telefon2
  DBA Nummer         :   519
  Anzahl Felder      :     1
  Listeneintrag      :     J

Pos  Teildatensatz              Feld                      Typ

 1    1 / Adr.Hauptdaten        24 / Adr.Telefon2         Alpha  32st.   GUS



Datei                :   100 / Adr.Adressen
Schlüssel            :     9 / Adr/LKZ_PLZ

  DBA Nummer         :   882
  Anzahl Felder      :     2
  Listeneintrag      :     J

Pos  Teildatensatz              Feld                      Typ

 1    1 / Adr.Hauptdaten        18 / Adr.LKZ              Alpha   3st.   G
 2    1 / Adr.Hauptdaten        19 / Adr.PLZ              Alpha  12st.   G



Datei                :   100 / Adr.Adressen
Schlüssel            :    10 / Adr/KundenBuchNr
  DBA Nummer         :   538
  Anzahl Felder      :     1
  Listeneintrag      :     J

Pos  Teildatensatz              Feld                      Typ

 1    1 / Adr.Hauptdaten        38 / Adr.KundenFibuNr     Alpha  20st.   GU



Datei                :   100 / Adr.Adressen
Schlüssel            :    11 / Adr/LieferantBuchNr
  DBA Nummer         :   539
  Anzahl Felder      :     1
  Listeneintrag      :     J

Pos  Teildatensatz              Feld                      Typ

 1    1 / Adr.Hauptdaten        39 / Adr.LieferantFibuNr  Alpha  20st.   GU



Datei                :   100 / Adr.Adressen
Schlüssel            :    12 / Adr/Vertreter1
  DBA Nummer         :   600
  Anzahl Felder      :     1
  Listeneintrag      :     J

Pos  Teildatensatz              Feld                      Typ

 1    1 / Adr.Hauptdaten         9 / Adr.Vertreter        Ganzz. (lang)



Datei                :   100 / Adr.Adressen
Schlüssel            :    13 / Adr/Ort
  DBA Nummer         :  1137
  Anzahl Felder      :     1
  Listeneintrag      :     J

Pos  Teildatensatz              Feld                      Typ

 1    1 / Adr.Hauptdaten        22 / Adr.Ort              Alpha  32st.   GU



Datei                :   100 / Adr.Adressen
Verknüpfung          :     1 / Adr->EK.Währung
  mit Datei          :   814 / Wae.Währungen
  über Schlüssel     :     1 / Wae/Nummer

    Pos  Feld                               Typ

     1     1 /   1 / Wae.Nummer             Ganzz. (kurz)


  Anzahl Felder      :     1
  Listeneintrag      :     J

Pos  Teildatensatz              Feld                      Typ

 1    3 / Adr.Einkauf            4 / Adr.EK.Währung       Ganzz. (kurz)



Datei                :   100 / Adr.Adressen
Verknüpfung          :     2 / Adr->EK.Lieferbed
  mit Datei          :   815 / LiB.Lieferbedingunge
  über Schlüssel     :     1 / LiB/Nummer

    Pos  Feld                               Typ

     1     1 /   1 / LiB.Nummer             Ganzz. (kurz)

  Anzahl Felder      :     1
  Listeneintrag      :     J

Pos  Teildatensatz              Feld                      Typ

 1    3 / Adr.Einkauf            1 / Adr.EK.Lieferbed     Ganzz. (kurz)



Datei                :   100 / Adr.Adressen
